Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(°C),Spindle_Bearing_Temperature(°C),Spindle_Vibration(µm),Tool_Vibration(µm),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
121.5781171,5.285856366,6.32930302,28.29379703,44.89450269,42.3210462,1.117747492,32.6009298,17020.46318,404.769388,46.35678164,2.639730076
97.87517622,4.111109619,6.350893042,19.40999237,50.11628811,33.63034366,0.997790294,17.75291322,20464.2122,304.580697,22.12315333,3.052237871
113.3990915,5.242927811,6.071831657,22.61301458,55.27151793,35.21811442,1.013771637,27.85969348,20825.60095,385.2281423,20.122613,2.566497631
82.97702305,4.325484453,5.872070865,8.046348363,51.8187372,33.20051746,0.775656303,19.83859099,22422.61131,364.962643,19.08773978,2.925839296
29.53259437,3.163408661,6.975601249,29.23033717,46.26858247,34.29975436,1.208221715,19.62982185,15004.02842,261.8705704,28.99874597,3.070168749
123.425374,6.932850772,6.467420472,16.63228295,53.02381046,28.43598238,0.861097782,20.49739908,22924.37636,358.3387713,30.25840514,3.526532495
52.17975773,5.508950258,6.346315884,4.971507584,44.95464024,35.2262846,0.732007079,20.30641825,23875.46886,362.5083685,22.74437393,3.839346291
89.05628627,6.990573535,5.902759534,23.27695979,48.02734565,42.08608007,0.572787444,18.87854537,15513.9856,389.8583636,23.36941961,2.917024346
83.80726249,2.943686208,6.651297624,13.70760084,49.66267098,33.02285451,1.391180737,23.39421046,21304.55365,356.6049525,21.82121937,1.847599503
87.59427129,5.817349186,5.447188691,25.5259272,53.24675042,30.64457289,1.160031362,29.75731037,18985.20544,295.8929146,24.04043233,2.672142667
103.3744496,4.159680928,6.176181304,14.82889008,41.3677429,38.07497123,0.870827138,25.42844101,22105.83653,372.4959639,15.39926347,2.166099449
92.82616732,5.218366782,6.794406578,7.794643086,47.10874133,39.37256684,0.963857363,20.8833752,18819.38707,398.9183592,29.31231396,2.876054538
101.0971573,5.428078587,5.524761604,18.78091215,48.54766399,29.00924176,0.632471001,16.60387805,19822.99996,273.7086225,27.7787221,1.827812542
129.5566233,3.832267191,7.395398059,22.46799696,56.12300515,33.65832998,1.133218315,18.41832732,25316.7733,375.4366711,27.90841216,1.830293415
127.0562081,4.296946934,6.542972833,3.732476987,51.0096581,34.63537693,0.898205238,30.42759329,23394.50206,329.0242189,22.74401543,2.13653685
64.1791976,4.065152571,6.281136667,1.536981404,41.8933889,30.95536132,1.112467571,18.67091811,24097.38626,329.9983918,24.72376124,2.398004844
105.7614801,3.496103533,7.315587502,7.725469006,51.44164912,39.03324311,0.956242511,19.61171025,26775.05754,337.5955658,31.0785672,2.185159883
80.71980941,4.962362774,6.120474534,17.40910064,43.41728781,33.80196881,1.553799809,25.39154585,23232.70514,267.9141274,30.85150407,3.089343214
99.24342876,6.339189997,6.611835595,13.25004173,48.52941084,37.4415881,1.199023495,18.28930124,19052.98945,345.1638928,37.87345678,2.458869261
76.79857193,3.944078977,7.225050218,12.52147835,44.77895558,35.73626956,0.672365498,28.7480565,23307.98981,311.8816705,26.07979502,2.294585188
107.5721317,4.154669096,7.165901952,13.01915608,46.52606257,28.78180298,0.915553765,37.09824865,22600.76984,278.1477919,26.99787444,3.336083605
83.158004,5.358352817,6.743698535,2.033662603,42.07188772,31.43652349,0.672769584,14.64367738,13320.66958,373.4517082,19.8189619,2.571375805
104.5586839,7.249136827,5.757924017,26.75200928,42.59166123,32.79789419,0.380975926,32.46807477,17186.19957,399.2132817,23.18475876,2.4377447
95.33205179,5.934660121,7.011406185,5.55937103,43.79800086,37.62037433,0.418858513,24.90549748,20987.2063,421.5566527,31.05345131,3.002064165
120.2306715,6.463226651,6.497450294,24.67891344,46.11331264,31.93797264,0.995495068,43.85465055,18770.6445,341.5946485,37.38736821,3.13144342
130.7598556,4.038222829,6.041166725,7.476656055,45.79979041,36.3643461,0.700452486,25.40676862,24804.98151,473.5859921,36.82912609,2.213548377
74.46254945,5.728008177,6.42425444,-3.967411629,55.1648055,39.71260268,0.954571073,23.98312968,22783.14457,315.0350802,39.93876704,1.588529384
92.30822368,5.39842659,6.581211017,21.31963668,50.46882714,36.45575523,0.778176053,17.41003528,21324.0265,330.5110949,26.15696383,4.225585224
107.4130363,6.359712052,6.525668367,25.04079572,48.33072649,37.5278763,1.31003061,15.59669577,19674.3502,345.4122337,18.2621141,1.965652959
47.42474502,3.067484891,6.621692166,22.13904236,50.47180096,37.09053415,1.530730077,20.36475758,20902.07457,399.8340368,16.82996795,1.77516066
122.7013909,4.904865871,6.570110663,20.42000206,46.35858397,34.81501908,1.575108972,28.48828525,17839.04238,347.8740677,19.66274167,2.917964039
104.2751395,5.54839233,6.125695349,15.41977088,50.27854178,38.81727937,1.3517464,24.91167877,27386.02614,443.6227351,30.95572777,2.825301515
64.87709958,2.749595108,6.523315409,22.06541374,49.15474081,40.45367689,1.451343783,24.92645917,23025.01087,341.313087,35.10512419,2.738412347
95.98922693,4.324071783,6.316346485,35.68259459,41.34856535,35.03372042,1.129598551,20.44240343,18622.68558,341.094597,24.22900278,3.349285006
103.6441845,5.495901689,6.447120791,26.47480384,47.78793318,34.73890603,0.040576083,22.27671952,21727.68651,258.1924892,23.34155518,2.015300553
62.12856019,4.159320511,5.664896615,37.77241381,47.829306,40.29732038,0.543862476,29.9275137,15148.21231,340.3358571,18.84221227,2.374329338
56.25238082,4.351345846,6.381592856,27.24161627,51.32074301,37.64124798,0.847799658,29.38740622,11661.49698,379.9769537,18.66917514,3.997783212
49.73693082,5.362761638,6.007127888,15.83084983,42.83084695,32.84322558,1.303183159,26.21713119,16721.94229,408.8265122,30.65651642,3.526089466
74.51286036,4.51888979,6.303134161,2.422272803,42.20987163,40.2995756,0.723714984,16.9082934,21609.68668,274.2966756,22.88124187,2.444922368
109.1915552,5.151626746,6.736322167,19.37974181,51.5443338,31.40484209,1.187776284,28.73593443,19952.42003,281.2246919,23.8999793,2.480233508
121.6658095,3.655251168,6.850953207,30.90528628,50.13610789,37.69840496,0.806797878,14.76015644,18006.48248,387.4745995,29.76501732,1.802294769
138.4444509,6.077741969,6.69938872,22.41666038,50.67497826,33.85606697,1.670313976,38.98132843,22098.35213,271.2733895,28.33006,3.296397724
146.0361679,5.016747795,6.584903996,9.555888901,42.6274588,31.99670952,0.964594985,23.67324139,15275.50003,348.2002977,22.15103771,2.575563077
99.18317867,4.528370976,6.762289418,21.8658399,51.70952352,26.81229866,1.145773877,20.64866441,18507.87185,398.0038113,24.11018305,2.495200836
99.37102641,4.075193242,6.01964882,7.011148801,52.50370041,29.80984947,1.914978644,28.35785648,17799.18946,395.3249643,21.87773558,2.984221908
94.31383765,4.325356641,6.29139768,35.77894917,54.68038983,32.7231345,0.932052407,14.03294735,23388.2643,344.7878635,18.5274913,2.518399907
98.10702327,5.491301158,6.890908839,25.05586963,50.01337356,37.85446526,1.007144828,14.67287576,20801.40983,412.9595084,14.99203431,2.939847282
110.2131928,4.899159814,7.382144268,9.351768519,52.62616709,35.84940804,0.994287487,33.41361773,22981.68821,296.0024767,19.08322311,3.071900039
97.88311158,5.784990885,5.695128831,2.908921377,54.03074903,32.47686891,0.47655069,34.3545574,17820.96091,350.3791509,24.07623622,2.443688915
94.82330717,4.139456227,5.978984085,10.92972866,49.38034563,36.12127441,0.219978752,27.16685815,23212.58879,309.5765863,27.96266793,3.357229901
122.2601325,5.485609984,6.873183304,17.57883934,47.1671413,30.17504855,1.115481292,27.72077034,15440.55546,425.0638238,22.80471563,2.890196569
44.23063995,6.465025344,6.496427819,24.03314185,54.54238095,29.10335966,1.077656062,32.2972288,25075.96768,341.137747,37.20470799,3.777504731
132.0956736,6.027229177,6.516660907,23.73396575,51.95028319,32.81737425,0.772711289,24.62107517,24247.54373,328.6235246,28.56141459,2.967612169
129.8093958,5.209640212,6.228930981,25.42892251,39.25820002,39.21771566,0.610999029,18.37047902,14375.07427,386.1392816,23.64193781,3.024549506
55.54964504,6.016221873,6.317127867,-4.979024999,54.25179141,39.20453019,1.186551943,28.32991704,19292.68184,316.690203,27.69717006,2.817234532
104.2189788,5.168790275,6.784783294,12.40145685,46.8345841,30.24056574,0.854745704,26.16175846,13398.5696,427.9572593,20.416042,2.688166903
87.33041666,5.229625257,6.142333032,14.22478766,46.93681464,27.77924264,0.833368288,28.30787007,13631.00544,284.1158761,22.69272719,3.079229594
59.43804532,4.439404589,6.282931777,15.65995794,47.87083378,35.86945213,1.203134062,23.95628656,15979.84674,302.4439538,19.56054225,2.781474234
110.1502764,5.538115186,6.14055792,26.88330628,46.75965489,38.43245429,0.837190936,38.67356104,21777.08381,259.4673708,19.44465554,2.010334666
112.3857319,5.258046941,5.546861569,15.03138401,58.05892952,31.26690264,1.017165252,20.16339324,25233.31767,302.3496548,22.72558729,2.004001151
83.99990998,4.320388728,6.892817313,7.644427061,47.32721207,36.7702152,0.902355631,19.71666982,17755.87946,441.8204317,24.8732035,2.401270453
102.0824719,5.195848068,7.307003579,9.683517845,46.29587471,36.82027636,0.746825374,35.61502094,25160.86084,439.5822536,44.16910748,2.553426055
124.9008537,4.551556967,5.642973688,20.93016715,41.60177016,35.19095807,1.256093158,28.95971796,19210.9662,427.2996532,24.71196457,2.911962273
140.713221,6.268059996,6.452005985,9.276510638,53.6056295,32.98155798,0.648509138,21.14649415,16458.5772,353.7992151,26.65707373,3.826028509
120.831451,3.683605027,6.596349665,30.89510383,47.32534397,37.45857089,0.735464665,30.90740332,20906.35974,330.8732842,37.50791558,2.745395483
76.47345086,4.093985096,6.576363531,23.75095136,49.77543108,33.91190839,1.274385166,25.87852094,14827.43765,411.4301187,23.42767113,2.742254432
87.80984547,5.851756284,5.922214317,14.03750597,49.34887854,38.08854699,1.008120104,35.96668713,24897.47471,330.4151927,25.99761918,2.698904755
128.7569367,4.234993436,6.59636794,23.85555067,41.33594326,31.3485602,0.621812881,23.25927882,22720.74698,343.2123871,36.72770588,3.289917863
75.61673246,5.654000983,7.417073666,20.69629687,53.39110875,37.54482656,1.024078924,29.62417565,11766.81656,377.8041015,26.41338024,3.116839023
97.57169047,3.884585257,7.042131596,21.2898403,45.28174522,29.16725162,0.678991387,17.99176064,16352.19343,379.6198994,35.09554067,3.200935826
73.62489568,4.763744993,6.782704695,26.31040202,44.99152622,35.07021649,1.323694616,22.6219835,12151.06986,375.3890048,14.34648061,1.989337042
80.1869558,3.531567869,6.563294649,25.32521714,49.579776,32.6335228,1.021043611,29.31095418,23933.98301,373.9970747,26.98092111,3.445212177
50.83249136,4.800000906,6.715445377,21.43100911,47.99684442,36.98917594,0.802626688,19.43366664,13136.40926,324.8582069,21.55019737,3.705840141
130.5707591,4.399707259,6.964153452,20.45813553,51.11092599,39.54466775,1.477188007,20.5230406,18416.49871,258.7466048,19.78950904,2.698760901
122.7812684,6.199846457,6.335818732,32.343642,56.14491049,32.74114579,1.518168323,18.60011394,19173.5365,425.5342646,22.40898397,3.873021753
103.9307265,4.889892422,6.323269839,18.81474507,48.2855208,34.89590055,0.625124356,19.88636636,23755.61995,477.6081252,25.77768517,2.99676207
42.62793576,5.711503524,6.189284814,25.78823443,42.1931796,37.68450122,0.922879677,22.41002597,21901.71493,334.7924331,17.7393705,2.059361682
121.3852412,5.864135169,6.616165504,23.02917288,45.90404944,35.34576559,1.002713342,28.91346691,21396.12146,383.4314642,27.89763403,2.486784841
31.01365491,5.657296949,6.100676029,5.821908287,47.4757346,37.24385438,0.866203321,37.10189035,20070.14952,296.0225536,20.32637318,2.660606316
167.5081872,4.866538432,6.96169998,26.42778718,46.62320805,40.9358985,1.81996475,21.33720652,24521.41065,391.9672017,22.43383898,2.421046212
70.47813939,4.657522207,5.821655976,34.11661955,52.91577809,31.94630346,1.062573544,32.50849749,20473.49224,370.3140213,21.4942542,3.003387042
97.93930708,6.328657972,6.474669303,10.60190851,51.68043878,29.10474873,1.026164271,19.48404714,23899.61008,399.184324,27.45358995,2.702431194
137.18016,4.088855004,6.085515586,8.740835856,45.52795635,31.0622765,0.805053614,27.04876879,21567.29151,417.0644485,24.427368,3.031023098
144.5648031,5.354509285,6.816529497,20.3730202,51.74173653,40.91848807,0.839434374,31.75241,24572.85823,275.6984007,32.33795621,2.111672334
91.20634308,4.921993907,6.587861039,22.04547346,48.23002436,35.35328652,0.562893011,23.24851181,22725.87891,343.6273825,18.13982116,3.706235874
74.18437345,5.043932771,6.447623842,16.8115996,43.9166055,36.07953932,1.17024891,21.57508333,18012.33518,408.6101446,18.83882033,2.214720277
117.0403328,6.747044491,5.855888354,16.08241263,46.7361656,28.52862721,0.871244018,23.05140072,20955.8184,386.4753023,26.20364995,2.399834157
76.29292955,6.502257164,6.264708019,8.468203338,44.91506547,37.3594836,0.860866231,27.59146719,20086.72926,291.7852418,18.36578425,4.022617349
91.99462229,5.249329357,6.541505449,24.51877875,48.22694852,37.75752469,0.789068966,13.82094455,17559.10486,354.9848502,34.09323113,2.10067286
47.80775535,6.291854414,6.07426067,22.59472661,46.05891632,35.07183058,1.145245949,26.76612572,22077.63527,271.7183824,20.02182663,1.648752884
165.3525088,3.304903753,6.970928617,12.55503944,51.20496903,31.4474093,1.292859593,28.4484174,21791.10723,373.3116647,20.47934357,2.983652668
62.15360779,4.91925473,6.254954669,7.548720002,50.62749232,34.17809443,1.362158252,14.79252077,13172.60239,351.5342434,20.0852337,2.225241232
46.71635155,4.519791994,6.107505793,11.35819527,50.27354533,36.11997445,0.72714004,28.56375449,19264.33269,357.520584,25.3050466,3.909280629
54.76156433,3.637763193,6.824872238,26.04626643,46.12005944,32.0957488,0.932082499,29.50685666,23975.21643,362.760622,25.90371299,2.524219817
129.2151755,5.88850663,6.786027948,24.70559695,48.56081939,36.37703996,1.099975597,25.81305605,15046.80243,345.3691264,28.73522566,2.065182595
120.4004428,4.217760565,6.376785701,23.93360806,53.46319319,37.76273309,1.409653015,30.91537858,15657.17349,362.9261466,28.74578038,2.486762287
129.8065163,4.15763675,7.030836167,15.40783046,51.66786272,39.20818768,0.613615908,19.96575977,26814.26258,312.345386,24.05055813,2.457058039
98.20356088,7.293168617,6.128637819,15.00720245,54.25416289,33.56619604,0.859070657,18.10893072,13691.5893,343.1897928,26.25629044,2.57299018
124.4897945,6.431193489,6.903511316,10.0940598,43.68245652,31.78799051,0.967211463,26.08483905,20419.90287,279.3015128,28.82654948,3.091663525
114.8241441,5.258931866,6.479076122,13.3097022,46.21673203,38.69163175,1.685464647,25.58111377,21734.47645,387.6300808,22.39033677,3.143467345
110.2159031,4.427631976,6.831871062,16.74044656,50.32121035,34.26392635,1.1421824,25.83122452,19657.49737,295.9449386,27.20577484,2.670472653
125.3500249,4.808208112,7.421417296,17.23655381,43.17925172,29.37790643,1.06401626,42.92836323,18443.014,374.5087435,35.65772169,2.584325305
140.2567619,6.28208406,6.557529312,40.85617495,44.10335383,34.48869283,1.535045447,27.40626386,20646.59254,354.0774927,20.29889256,2.787182617
80.91929602,4.419630497,6.293739976,10.11200969,49.1876511,45.75859189,1.310290883,17.88595908,11699.71288,382.1688622,24.49519045,1.855227165
148.5841192,4.685221087,6.537426229,17.22677205,46.30871219,33.70714365,0.988894045,17.68377511,32007.55297,408.744847,18.63372643,2.129720024
108.1230331,4.903959788,6.804465841,11.11340557,50.81128294,39.67002843,0.781082793,23.31160721,28115.12384,387.4195754,30.46664603,2.520865868
81.73533753,5.762384868,5.849791641,17.70206221,51.54988698,45.0341695,1.40077702,26.89118344,18645.89476,306.6242109,25.10562079,3.578062373
133.9800333,6.134824915,7.019397044,15.00841803,51.18450436,37.57100303,1.029502121,18.55466636,15841.62892,285.5074279,28.78247139,3.039337891
107.6929908,5.9419488,6.017085106,14.81347477,48.7374953,37.50759213,1.260226569,21.40169444,14996.10765,383.5557068,37.806162,3.494247531
50.66072395,5.10843426,6.076982464,11.68409104,43.88169637,33.1671683,0.94154494,27.83897393,19733.35721,242.5874058,23.59154422,2.257954307
93.488755,4.721146634,6.905844029,11.18401218,49.75400311,37.44675331,1.072486759,33.33622466,22940.60156,435.7670748,16.99575056,1.899951939
114.0099193,4.991132482,6.593802814,18.17614586,49.44524377,29.13664087,1.701168906,20.25786041,21776.48231,356.8267875,35.62180278,3.401536054
95.07835968,5.607839637,6.374003858,18.10334662,54.07610362,43.65819777,1.146556463,11.16590172,22634.00111,322.8348145,32.04606389,2.672559012
48.62289935,5.632843883,6.208575531,18.54382987,44.47391301,32.48623577,0.488331299,24.82254662,20272.57128,344.9931156,18.59526277,3.495547295
35.13768634,4.858976674,6.593693707,16.7211028,44.09629765,36.56498582,0.528249105,19.47093247,26625.00522,301.9118776,42.29124099,3.38049554
108.7847626,4.883842502,6.742219542,11.81355131,46.20147506,33.51156093,0.801650519,10.98036643,26923.0771,365.3568834,23.66466487,3.116179966
90.70282665,4.797996637,6.204487765,9.131596169,49.6439889,39.82077962,1.323273732,12.10929958,20284.10208,392.5226772,32.40439046,2.98165785
63.79252648,5.728898497,6.910617562,9.011416684,52.31970778,39.72747598,1.193090127,25.15122905,23128.16114,359.3715173,23.27978351,3.395585468
86.89303636,5.558356596,6.453629576,17.57178324,40.64609487,34.08654062,1.028076855,20.69624649,17940.78192,316.1926678,29.03791545,2.436940604
70.92440894,3.820472152,6.27130318,24.64135395,45.51512836,33.89706029,0.674660005,21.42507562,22755.14629,361.7094803,37.27456535,2.430993365
64.14851595,4.190655803,6.078550504,6.928853285,41.6890465,35.05566899,0.444513681,29.12723394,25625.62746,329.1151734,16.46507092,2.4595206
89.23169883,4.597715411,5.839712782,19.7769733,47.97875446,37.40971469,1.247822761,27.43230064,20663.38046,351.1350621,26.56506327,1.577845568
51.768571,5.247634198,6.498938616,33.11960611,48.39240593,30.07418888,0.534979792,15.0939116,13619.20324,318.1286606,25.98739949,3.131851415
148.3599709,5.355867826,6.68127676,23.25912975,44.4355984,25.20755824,1.536817228,18.47220193,29014.51545,376.21928,34.08032322,2.325178304
129.6363689,5.670848404,6.287361909,21.44289956,46.15959239,38.97407916,1.115719863,22.21707308,23782.25151,365.6546495,26.33001085,3.068056558
121.1621275,5.132825312,6.285103918,10.88056105,43.06143616,32.90998874,1.505944315,27.6931552,23205.32036,367.4563633,31.47908083,3.628400362
110.6363965,5.29723588,6.132798394,-3.934231239,45.39453683,48.0365893,1.571232187,20.53027541,19155.93611,306.5760584,31.63133053,3.635835263
144.5478075,4.541324909,6.51532826,31.83643843,53.57318997,35.42248562,1.239233621,27.0917565,18901.13519,323.0566084,16.60596272,1.313706418
138.1124256,4.756824795,6.417804,-1.067662224,47.83135778,35.08721771,1.184592383,21.80604778,26096.61959,354.6521494,32.08456149,3.952150834
89.73631595,3.905101466,6.544755787,13.48925966,50.95742704,32.9365874,1.668493758,26.82088581,17338.89363,412.5224773,19.54342503,3.736305457
128.8206824,4.65586826,6.677823842,23.40552098,51.7935762,36.61770175,0.331844846,23.6930919,19456.35496,372.4191784,22.87047644,3.09428434
126.6699416,6.035003799,6.415814899,21.23659599,50.05554383,32.29516854,1.304099552,14.29438669,22450.62537,317.4514544,22.05844774,2.782467213
82.64771088,5.814266898,6.279866525,17.68189069,48.63389236,37.33882717,1.140276225,30.2614603,24289.32258,344.1703472,33.07245717,2.601677071
147.0615569,4.180469253,6.292612851,19.66073057,44.19318083,37.24150917,1.283940932,21.02446665,22559.33123,372.0831922,30.43130888,3.06427304
7.04324811,5.433914145,6.99482798,15.21533601,50.47388085,38.64498203,0.808761651,28.41930076,18196.65907,376.7643585,24.72614347,3.078937367
107.4852727,5.21605941,6.517979097,29.55902431,49.1390263,30.42314535,1.170844622,17.63766131,29034.40684,354.5638746,29.74885295,2.672977587
132.7813185,6.170896124,6.159630827,10.91028541,48.26012294,38.02456432,0.870324132,26.96748072,24377.05511,293.0572766,23.41069187,2.87293623
102.738855,3.575632761,6.434939787,30.62546834,48.47628713,35.8899129,0.321789768,22.78024745,22665.80222,304.4301872,36.09941501,3.285331301
88.04939957,5.733532473,6.402371548,18.96919052,47.14688179,35.46448825,0.944787049,27.21504446,21070.24712,347.1990077,25.62033482,2.817354616
68.84566361,5.723277798,5.806022645,8.457519731,39.88959194,37.10197079,1.161047832,16.98745471,27877.49067,356.6706086,31.85828419,3.273261305
76.22720946,5.130222684,6.553549429,9.637178008,43.0783212,38.56274703,1.061531164,37.7683201,13683.94752,320.7144094,36.56467147,3.482576791
109.5530194,4.705573599,7.345299831,27.37914059,45.63360508,37.58732839,1.106952088,23.57282278,19467.04695,359.4329516,17.49428394,1.807190905
98.91618031,4.190569115,6.036977225,27.29110855,49.26782532,36.84614131,1.068840915,21.02313769,21465.2125,353.6475476,23.56116724,3.132402035
105.4950132,5.962544297,6.182046171,28.38885037,48.93094829,30.28191092,1.15181848,27.67862182,24261.35445,332.901776,25.42919656,2.606216108
138.4246956,4.700834405,6.473889453,16.94456833,46.64089985,36.26392734,1.565621616,33.28986856,24600.21407,305.6622491,29.62005637,2.949175466
121.972039,4.534232685,6.36409096,36.03951142,43.2914858,29.78459425,1.120249133,25.66732001,20074.35318,242.543122,31.86884969,3.979429619
116.133374,5.768787409,5.99440346,34.2899675,44.80871001,35.01710565,1.250674584,26.81410059,14076.78468,343.7362652,32.35408076,3.570798003
135.1753101,2.848183459,6.819522872,14.25712888,54.55705217,31.11722425,1.178213676,27.75783983,21955.24298,365.2010875,23.15689969,3.208984653
110.6764956,5.274359005,6.642188798,15.32881819,43.25374799,42.07811376,0.764092965,30.91604994,24066.54796,341.6788336,18.24376716,3.608827179
167.5723658,5.833264467,6.712844272,18.09920479,51.89969947,38.17895701,0.843383568,15.34720249,20902.90175,289.72646,26.41057862,2.598125104
117.5289918,5.086727947,6.802447214,5.507651437,53.13798304,35.68298139,0.50651518,27.25081798,19286.51203,373.0234448,29.66237705,2.816592617
127.1026131,5.357326614,6.349682622,3.884673039,50.64798984,36.17304849,1.51179349,21.97675176,20566.09604,400.7678963,27.55546123,2.917192128
84.05219487,4.246940202,6.20754407,19.82724327,50.44282907,36.3738962,1.213445605,29.41664248,13411.76324,448.7399866,21.38343755,2.581513578
112.039474,7.22526752,6.112456344,24.41874383,48.4095409,26.47948541,0.730894609,32.55337663,15689.3179,307.3155764,25.61748416,2.288042292
48.93070153,4.522718514,6.405953205,12.90680731,46.40138289,42.23507536,0.59709433,18.95550026,17194.76827,399.2468689,18.54221489,3.094688499
159.4892818,4.26559539,6.434060568,12.56499442,47.81984779,36.07722452,1.36862996,30.82638516,23817.41612,340.6935654,25.12495859,2.786319505
68.36365181,6.699734814,5.980228007,26.22809889,49.40545969,37.69467422,0.814628643,19.11663224,23706.96746,443.7414558,24.47326417,3.231831131
88.58363424,4.376140862,6.325021313,13.5751634,48.65146517,32.40472664,1.305647915,36.95834989,16472.50305,432.0197156,19.24659595,3.205213907
108.6342264,4.930471622,6.768280205,25.72555856,55.17449563,32.88167448,0.837373683,29.09269517,17739.91133,427.0553716,40.19710451,3.106337232
71.47910987,4.76709677,6.447337203,13.08662489,36.19496561,38.23600573,1.136015047,21.13524394,20433.20067,386.5985571,29.21283184,2.815107223
88.90576801,5.532323302,6.322245338,9.249956309,43.87203395,37.30958292,0.739889717,26.43620596,18409.71045,337.5798314,28.64100201,2.066285186
64.61157626,5.825757889,6.697052896,6.529620003,40.78864168,31.15412316,0.554106684,20.6384304,18855.15571,321.9384998,39.11176544,2.925303647
77.91672106,5.076325489,7.0831445,38.12991115,47.37853006,46.82392897,1.49433487,25.95143779,15032.38835,376.5902843,24.77103932,3.422441639
129.9493423,3.160743977,7.140799215,26.67028547,54.17626017,41.69254267,1.064549012,18.55875689,26782.86207,315.3472274,24.63352969,2.339993572
106.010158,6.090241957,6.825063307,24.19797812,44.99554033,39.33218192,1.311715048,27.56864686,15422.05095,359.0380163,19.54178392,2.009511155
109.3437431,3.498018893,6.316234301,9.377960757,50.44414926,34.23010853,1.162372986,34.35546461,21150.6337,361.5709398,11.09222755,2.499364167
51.64948069,6.418474042,5.858138073,18.64366431,53.26638682,33.93661532,1.148865358,24.58798097,15654.20936,334.5352569,26.67335495,3.205407512
110.1353236,6.147305714,6.747708825,28.38746157,50.55329244,35.17057972,0.931722029,23.39173279,20194.52245,405.3226432,16.28612198,3.372994533
82.49628469,5.096124061,6.070005477,19.92182035,56.45499992,33.3457821,1.084105943,33.33752669,23799.76892,326.5063127,32.65377721,2.946058133
112.9063369,4.439701398,6.82967932,17.75077524,47.12693999,37.74987097,1.103563687,33.63025304,19327.52338,368.2021008,23.65350426,2.976872693
80.2431095,6.444936935,6.4399406,10.81826271,42.7117521,37.4435544,1.367586412,27.5273842,23068.98111,407.2382877,16.48601406,1.998923116
107.8595638,5.627089852,6.51534581,30.36963596,52.17365324,35.6377277,0.99634127,33.29322606,21205.52697,366.6554787,25.65474922,2.671973722
90.20473756,4.122552139,6.794714862,22.6084585,55.27307354,39.37665341,1.309166438,22.53219892,14128.78596,441.9615276,26.93975355,2.555637277
80.22674215,5.053031858,6.217004187,19.18980601,46.56798535,30.71179873,1.115345213,21.10816962,21110.98862,319.2307743,34.3444725,3.388663547
174.098252,3.746260196,6.27032243,9.676678605,50.70552666,35.92898444,0.800734385,29.28281926,25272.3204,289.6303728,30.09523606,2.00762206
142.7967546,4.588076848,6.610884697,24.99869361,49.86766459,24.26744773,0.783010587,23.90192034,20356.16346,231.0392925,32.05682213,3.794090841
124.7521078,6.41069525,6.298859889,17.29131062,45.95558419,30.04876846,1.298689298,19.42007527,22108.04649,297.9807364,20.10932939,2.24292332
151.511776,5.851056185,5.763937784,16.12904451,50.26010719,31.58639949,1.439281533,22.90303373,23886.81257,296.2615847,30.15413897,2.948189642
125.3848534,5.900463695,6.517379097,17.41185796,43.5781748,36.04710692,1.019132148,20.03182261,15549.64658,283.4750006,18.71973779,2.644115776
27.92291446,4.630639893,6.94015775,17.15938328,49.92466546,32.22986176,1.163753711,16.88910531,24064.91272,359.9402982,9.193414074,3.023847877
71.09139714,4.139289416,6.088388626,36.29475737,50.27742884,38.14068609,1.412942276,27.22441325,24442.53504,321.4998901,31.04385292,2.788380662
71.87283483,4.284220912,6.656930957,5.706009913,53.7984746,34.26365798,1.399309687,29.57775107,17019.80051,326.1648267,20.34213575,3.023301943
56.05700927,3.048201491,6.356223042,4.966055238,39.65620029,41.52876884,1.235534276,30.74663306,20207.45844,378.3131964,30.22784874,2.72949567
121.410513,5.023377531,6.76500545,23.07553738,48.34003747,33.12345133,1.767086304,39.59968996,20167.78096,341.9095924,22.33047973,3.015534763
133.1855568,5.558408098,6.277207041,6.815466926,50.72791441,31.88409492,0.377037532,32.94637618,21197.27513,320.3019671,24.66553875,2.378703055
69.47602777,3.585513639,6.55483501,10.61105476,40.99887439,36.81094125,1.585389401,22.4677793,20349.91101,321.6247557,10.51860387,3.917985505
55.00796178,4.655649208,5.819546561,12.08506454,46.57521426,38.62439649,1.362069375,35.43309074,24865.24514,412.4355751,24.38788723,1.677809593
99.68932092,2.585985753,6.038210504,20.99977506,48.27286494,36.23187639,0.989500147,19.87405862,25759.6857,336.2151733,28.21962286,2.555839569
102.7022143,5.601064473,6.626444119,11.39374202,37.64147448,29.73962551,0.909622604,25.29168249,20845.30697,319.4587181,27.41384371,3.056338827
107.2088485,4.079411661,6.822644435,19.98625381,40.33494705,40.2556196,1.646892729,29.23353483,25540.87433,266.0561265,13.72987395,2.644602722
66.23813974,5.361593129,6.388552557,18.41163082,51.20828486,36.67956655,1.14200905,26.59291023,16211.33364,353.6892331,32.32875234,2.364166064
143.198835,6.217489241,6.579742246,23.92428238,52.64052481,34.67255688,0.999160286,36.58360487,19988.89707,336.5134098,24.93800485,2.100548902
